 1985  09  23  00   80.00  197.50   10.56
 1985  09  23  12   52.50  157.50   10.58
 1985  09  23  18   45.00  270.00   12.07
 1985  09  24  06   65.00   72.50   10.65
 1985  09  24  06   75.00   47.50   11.33
 1985  09  24  12   22.50  292.50   11.17
 1985  09  24  12   55.00   60.00   10.87
 1985  09  24  12   75.00   42.50   11.21
 1985  09  24  18   57.50  215.00   10.54
 1985  09  24  18   75.00  152.50   11.09
 1985  09  25  00   75.00   70.00   11.59
 1985  09  25  06   77.50   65.00   13.28
 1985  09  25  12   80.00   60.00   14.79
 1985  09  26  00   80.00  195.00   10.80
 1985  09  26  06   57.50  245.00   10.47
 1985  09  27  12   40.00  177.50   10.15
 1985  09  27  12   70.00    7.50   10.31
 1985  09  27  12   77.50  132.50   10.50
 1985  09  27  18   55.00   57.50   11.90
 1985  09  27  18   77.50  145.00   11.03
 1985  09  28  00   45.00  335.00   14.08
 1985  09  28  00   77.50  155.00   11.41
 1985  09  28  18   47.50  117.50   10.44
 1985  09  29  12   77.50  162.50   10.40
 1985  09  29  18   72.50   80.00   10.23
 1985  09  29  18   72.50  245.00   12.61
 1985  09  30  06   70.00  350.00   11.74
 1985  10  01  00   52.50  202.50   11.20
 1985  10  01  06   55.00   50.00   11.69
 1985  10  01  06   75.00    2.50   19.03
 1985  10  01  06   77.50  127.50   10.75
 1985  10  01  12   47.50  137.50   11.83
 1985  10  02  06   20.00  127.50   14.91
 1985  10  02  12   47.50  162.50   12.72
 1985  10  03  00   55.00  340.00   10.70
 1985  10  03  18   52.50  215.00   10.15
 1985  10  04  00   65.00    2.50   10.49
 1985  10  04  06   50.00  172.50   10.45
 1985  10  04  12   45.00  267.50   11.08
 1985  10  04  18   55.00  325.00   10.92
 1985  10  05  00   47.50  215.00   10.54
 1985  10  05  00   60.00   82.50   10.04
 1985  10  05  12   40.00  157.50   11.57
 1985  10  06  12   60.00  150.00   10.02
 1985  10  07  00   52.50   77.50   10.37
 1985  10  07  00   57.50  300.00   10.66
 1985  10  07  00   70.00  347.50   13.56
 1985  10  07  12   42.50  257.50   11.56
 1985  10  08  00   77.50  222.50   11.49
 1985  10  08  06   77.50    5.00   12.50
 1985  10  08  06   77.50  300.00   12.87
 1985  10  09  00   50.00  105.00   10.50
 1985  10  09  00   75.00  247.50   14.41
 1985  10  09  00   80.00  127.50   16.92
 1985  10  09  06   80.00   35.00   15.95
