atl_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
atl_100	1990-01-30	06:00	40	287.5	30	60	257.5	377.5
atl_101	1990-01-31	18:00	45	327.5	30	60	297.5	417.5
atl_102	1990-02-05	06:00	40	300	30	60	270	390
atl_103	1990-02-20	18:00	45	315	30	60	285	405
atl_104	1990-02-24	06:00	40	287.5	30	60	257.5	377.5
atl_105	1990-03-08	06:00	40	310	30	60	280	400
atl_106	1990-03-20	18:00	40	290	30	60	260	380
atl_107	1990-11-04	18:00	40	325	30	60	295	415
atl_108	1990-11-06	18:00	42.5	292.5	30	60	262.5	382.5
atl_109	1990-11-09	00:00	40	305	30	60	275	395
atl_110	1990-11-25	18:00	45	287.5	30	60	257.5	377.5
atl_111	1990-12-01	00:00	42.5	305	30	60	275	395
atl_112	1991-01-03	18:00	42.5	307.5	30	60	277.5	397.5
atl_113	1991-01-12	18:00	40	290	30	60	260	380
atl_114	1991-01-17	06:00	42.5	292.5	30	60	262.5	382.5
atl_115	1991-01-20	00:00	42.5	315	30	60	285	405
atl_116	1991-01-23	18:00	45	317.5	30	60	287.5	407.5
atl_117	1991-01-29	06:00	45	330	30	60	300	420
atl_118	1991-02-14	18:00	40	290	30	60	260	380
atl_119	1991-02-26	00:00	40	302.5	30	60	272.5	392.5
atl_120	1991-02-27	18:00	42.5	302.5	30	60	272.5	392.5
atl_121	1991-03-15	00:00	40	297.5	30	60	267.5	387.5
atl_122	1991-03-19	06:00	40	290	30	60	260	380
atl_123	1991-03-23	18:00	45	317.5	30	60	287.5	407.5
atl_124	1991-11-17	18:00	42.5	305	30	60	275	395
atl_125	1991-11-28	18:00	45	335	30	60	305	425
atl_126	1991-12-01	18:00	40	327.5	30	60	297.5	417.5
atl_127	1991-12-11	00:00	42.5	302.5	30	60	272.5	392.5
atl_128	1991-12-18	18:00	42.5	297.5	30	60	267.5	387.5
atl_129	1991-12-25	06:00	42.5	300	30	60	270	390
atl_130	1991-12-28	00:00	45	302.5	30	60	272.5	392.5
atl_131	1991-12-30	06:00	40	290	30	60	260	380
atl_132	1992-01-10	18:00	42.5	300	30	60	270	390
atl_133	1992-01-14	00:00	42.5	322.5	30	60	292.5	412.5
atl_134	1992-01-17	00:00	40	305	30	60	275	395
atl_135	1992-01-23	06:00	40	315	30	60	285	405
atl_136	1992-01-27	06:00	42.5	307.5	30	60	277.5	397.5
atl_137	1992-02-01	06:00	42.5	297.5	30	60	267.5	387.5
atl_138	1992-02-19	18:00	45	300	30	60	270	390
atl_139	1992-02-26	18:00	45	300	30	60	270	390
atl_140	1992-03-09	00:00	42.5	297.5	30	60	267.5	387.5
atl_141	1992-03-20	00:00	40	295	30	60	265	385
atl_142	1992-03-27	06:00	40	285	30	60	255	375
atl_143	1992-11-02	06:00	40	305	30	60	275	395
atl_144	1992-11-11	18:00	45	320	30	60	290	410
atl_145	1992-11-24	06:00	42.5	300	30	60	270	390
atl_146	1992-12-05	18:00	42.5	297.5	30	60	267.5	387.5
atl_147	1992-12-18	06:00	40	342.5	30	60	312.5	432.5
atl_148	1992-12-30	18:00	42.5	302.5	30	60	272.5	392.5
atl_149	1992-12-31	18:00	45	325	30	60	295	415
atl_150	1993-01-01	18:00	45	312.5	30	60	282.5	402.5
atl_151	1993-01-22	00:00	40	317.5	30	60	287.5	407.5
atl_152	1993-01-24	00:00	45	297.5	30	60	267.5	387.5
atl_153	1993-01-25	00:00	45	285	30	60	255	375
atl_154	1993-01-29	18:00	45	295	30	60	265	385
atl_155	1993-02-01	06:00	42.5	302.5	30	60	272.5	392.5
atl_156	1993-02-07	18:00	42.5	307.5	30	60	277.5	397.5
atl_157	1993-02-09	18:00	40	345	30	60	315	435
atl_158	1993-02-13	06:00	40	290	30	60	260	380
atl_159	1993-02-22	18:00	42.5	297.5	30	60	267.5	387.5
atl_160	1993-03-06	06:00	40	295	30	60	265	385
atl_161	1993-03-08	06:00	45	325	30	60	295	415
atl_162	1993-11-11	18:00	42.5	310	30	60	280	400
atl_163	1993-12-16	06:00	45	310	30	60	280	400
atl_164	1993-12-18	00:00	42.5	315	30	60	285	405
atl_165	1993-12-19	18:00	42.5	292.5	30	60	262.5	382.5
atl_166	1993-12-21	18:00	42.5	287.5	30	60	257.5	377.5
atl_167	1993-12-24	00:00	40	295	30	60	265	385
atl_168	1993-12-25	18:00	40	300	30	60	270	390
atl_169	1994-01-08	18:00	42.5	292.5	30	60	262.5	382.5
atl_170	1994-01-13	18:00	42.5	300	30	60	270	390
atl_171	1994-01-14	18:00	40	295	30	60	265	385
atl_172	1994-02-03	06:00	42.5	297.5	30	60	267.5	387.5
atl_173	1994-02-10	00:00	45	312.5	30	60	282.5	402.5
atl_174	1994-02-12	06:00	40	295	30	60	265	385
atl_175	1994-02-14	00:00	42.5	297.5	30	60	267.5	387.5
atl_176	1994-02-17	00:00	40	305	30	60	275	395
atl_177	1994-02-19	06:00	40	315	30	60	285	405
