wnp_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
wnp_095	1988-11-18	00:00	45	172.5	30	60	142.5	262.5
wnp_096	1988-11-23	06:00	45	185	30	60	155	275
wnp_097	1988-11-24	06:00	45	140	30	60	110	230
wnp_098	1988-11-26	00:00	45	160	30	60	130	250
wnp_099	1988-11-28	00:00	40	170	30	60	140	260
wnp_100	1988-12-05	06:00	45	147.5	30	60	117.5	237.5
wnp_101	1988-12-06	00:00	45	157.5	30	60	127.5	247.5
wnp_102	1988-12-08	06:00	40	195	30	60	165	285
wnp_103	1988-12-08	18:00	40	180	30	60	150	270
wnp_104	1988-12-11	18:00	42.5	175	30	60	145	265
wnp_105	1988-12-14	06:00	42.5	137.5	30	60	107.5	227.5
wnp_106	1988-12-18	00:00	45	190	30	60	160	280
wnp_107	1988-12-21	00:00	45	152.5	30	60	122.5	242.5
wnp_108	1988-12-24	00:00	45	172.5	30	60	142.5	262.5
wnp_109	1988-12-26	00:00	42.5	172.5	30	60	142.5	262.5
wnp_110	1988-12-28	18:00	45	150	30	60	120	240
wnp_111	1988-12-29	00:00	40	170	30	60	140	260
wnp_112	1989-01-01	18:00	40	150	30	60	120	240
wnp_113	1989-01-04	18:00	42.5	172.5	30	60	142.5	262.5
wnp_114	1989-01-05	00:00	42.5	192.5	30	60	162.5	282.5
wnp_115	1989-01-17	18:00	40	185	30	60	155	275
wnp_116	1989-01-20	18:00	40	147.5	30	60	117.5	237.5
wnp_117	1989-01-21	06:00	45	192.5	30	60	162.5	282.5
wnp_118	1989-01-30	06:00	45	182.5	30	60	152.5	272.5
wnp_119	1989-02-02	00:00	45	167.5	30	60	137.5	257.5
wnp_120	1989-02-08	18:00	42.5	185	30	60	155	275
wnp_121	1989-02-20	18:00	42.5	145	30	60	115	235
wnp_122	1989-02-23	06:00	45	175	30	60	145	265
wnp_123	1989-03-04	00:00	42.5	140	30	60	110	230
wnp_124	1989-03-09	18:00	42.5	177.5	30	60	147.5	267.5
wnp_125	1989-03-13	00:00	42.5	160	30	60	130	250
wnp_126	1989-03-21	06:00	45	192.5	30	60	162.5	282.5
wnp_127	1989-11-01	06:00	40	142.5	30	60	112.5	232.5
wnp_128	1989-11-07	00:00	42.5	142.5	30	60	112.5	232.5
wnp_129	1989-11-19	00:00	40	167.5	30	60	137.5	257.5
wnp_130	1989-11-27	18:00	45	137.5	30	60	107.5	227.5
wnp_131	1989-12-04	00:00	45	142.5	30	60	112.5	232.5
wnp_132	1989-12-08	06:00	45	145	30	60	115	235
wnp_133	1989-12-25	00:00	40	170	30	60	140	260
wnp_134	1989-12-28	00:00	42.5	152.5	30	60	122.5	242.5
wnp_135	1989-12-29	06:00	45	172.5	30	60	142.5	262.5
wnp_136	1990-01-02	06:00	40	177.5	30	60	147.5	267.5
wnp_137	1990-01-07	00:00	45	152.5	30	60	122.5	242.5
wnp_138	1990-01-11	00:00	42.5	155	30	60	125	245
wnp_139	1990-01-13	06:00	45	155	30	60	125	245
wnp_140	1990-01-16	00:00	42.5	172.5	30	60	142.5	262.5
wnp_141	1990-01-23	00:00	45	150	30	60	120	240
wnp_142	1990-01-29	06:00	40	180	30	60	150	270
wnp_143	1990-01-30	06:00	40	162.5	30	60	132.5	252.5
wnp_144	1990-02-02	18:00	45	177.5	30	60	147.5	267.5
wnp_145	1990-02-11	18:00	42.5	187.5	30	60	157.5	277.5
wnp_146	1990-02-17	00:00	45	160	30	60	130	250
wnp_147	1990-02-21	06:00	45	145	30	60	115	235
wnp_148	1990-03-04	18:00	40	152.5	30	60	122.5	242.5
